Machine_ID,Machine_Type,Runtime,Temperature,Vibration,Pressure,Power_Consumption,Maintenance_History,Downtime,Failures,Remaining_Useful_Life,Ambient_Temperature
7,Sealing,6566.553173,74.88365082,0.665550125,38.05091939,209.748598,0,0,0,632.5570067,35.3903335
4,Packaging,3555.619002,72.92761693,4.168719912,35.85128582,428.7609007,0,0,0,633.4567808,39.44393668
8,Sealing,9665.634684,88.63093847,1.077148005,17.13494654,494.7694304,0,0,0,968.5173035,27.10811577
5,Filling,8036.032911,66.17174483,2.156174596,48.7476311,285.5456117,0,0,0,845.1146189,20.29521392
7,Packaging,6341.134422,69.35049771,2.647299241,24.16102373,228.7082781,0,0,1,266.1191949,38.73764904
10,Filling,2999.959514,69.23378267,2.446160002,23.17147895,472.5792705,1,7.262097301,0,787.8449325,35.06456304
3,Filling,3798.048934,68.67019004,3.765495937,24.76646177,300.1793786,1,9.585741228,0,953.586157,36.68711384
7,Sealing,6732.702249,74.05614136,3.185494682,13.66878461,392.1414285,0,0,0,918.7140605,24.17361513
8,Sealing,812.6101028,89.675377,1.829170322,34.99854068,265.4960124,0,0,1,210.0475919,32.91314534
5,Filling,2641.137857,86.663603,0.732663499,19.54496975,181.0194311,0,0,0,751.5517514,24.65417396
4,Filling,7167.619241,69.83848705,3.954178032,42.13251026,361.954045,0,0,0,848.063062,20.23234604
8,Packaging,4852.183247,72.68610347,2.08637207,25.76624721,365.9370598,0,0,0,580.3345744,23.14132873
8,Sealing,4083.696292,80.08442239,4.503761334,28.34233929,284.07354,0,0,0,969.7460284,38.45614093
3,Packaging,1599.430462,60.51455042,2.277755481,35.85688216,207.979854,0,0,0,699.3737717,24.30639539
6,Packaging,4474.305441,84.60460976,3.729463728,40.47484536,432.7253968,0,0,0,958.3167112,31.70284299
5,Packaging,7729.850511,86.39394172,4.728041165,19.24461219,210.1272498,0,0,0,550.3563111,39.36026449
2,Filling,2713.727176,85.71601003,3.430186028,48.65177319,363.6095945,0,0,0,757.6272442,21.51372648
8,Packaging,153.4455676,71.25163161,2.36070011,34.89286184,253.5942496,0,0,0,500.7002323,36.15874288
6,Packaging,6718.198521,73.85998522,3.05329671,10.22554494,288.9922712,1,5.827935135,1,43.12307818,31.95113841
2,Filling,9729.003384,60.37164966,2.945503348,26.6248884,184.5610646,0,0,0,541.5919269,26.46799628
5,Sealing,6107.58298,71.98186044,3.131690165,27.47271283,359.7919782,0,0,1,100.7546967,27.28509107
1,Sealing,1287.226403,73.81280467,1.160689935,42.36659904,190.3303334,0,0,0,777.897403,20.54365498
10,Packaging,3275.257614,87.20922879,3.643294471,22.20559096,294.2856186,0,0,0,926.1357843,25.11670474
6,Filling,8689.651986,86.81963021,1.152694723,23.24906065,231.3837573,0,0,0,647.7162347,28.4680109
9,Sealing,2402.423935,88.98291192,0.565775979,12.81976371,485.4422931,0,0,0,783.4042508,34.33827139
1,Packaging,6116.189445,86.55314955,3.311510453,21.34184098,492.8884384,0,0,0,533.2284079,25.49556883
10,Packaging,4086.444962,60.24602128,1.026111075,38.67846806,401.3965229,0,0,0,956.7524779,31.60620179
3,Filling,2157.652842,79.24382557,3.966852365,35.39027678,493.5669979,0,0,0,725.8653789,34.63375637
7,Packaging,8152.728246,62.04713049,4.396846791,13.25576352,145.4202571,1,3.761420671,0,626.2950146,33.97061773
4,Sealing,7454.029637,68.17782859,4.751315556,14.58775568,496.9298616,0,0,0,731.6154249,31.80583028
9,Filling,6649.751553,77.34922888,3.490146333,25.07703856,141.4223665,1,2.899596119,0,740.7529967,31.60382714
3,Sealing,2439.732244,81.01841455,2.669067018,39.75031049,266.1807095,0,0,0,871.6481928,34.42421811
5,Sealing,1068.784327,79.63896078,2.085264863,43.31673113,195.5790281,0,0,1,221.1080771,26.71023524
3,Sealing,5803.977365,61.47175102,2.709162923,10.58496172,481.5383854,0,0,0,593.0715863,29.00429805
7,Packaging,5581.410552,63.10811609,1.356585028,23.16042309,354.3159739,0,0,0,527.2467245,39.3233372
5,Packaging,1965.011592,63.85760439,2.067901915,26.97047455,338.8510135,0,0,0,827.8536237,33.37203707
9,Sealing,656.8422737,62.7424313,3.730687362,46.44531243,498.975402,0,0,0,942.2892119,30.39784394
7,Sealing,899.0136965,65.3470327,1.47840337,30.05626231,344.9704416,1,5.759266585,0,782.5208277,31.56624166
2,Filling,9928.432766,80.65463374,1.688302111,20.78803061,358.4639524,0,0,0,539.9349874,22.08857572
4,Filling,7857.480558,84.92511753,3.871977151,25.60188261,117.9097197,0,0,0,710.8874477,31.83977512
9,Packaging,9227.676012,72.2644167,1.300261711,27.45737766,443.6202408,0,0,0,827.366383,36.72997937
2,Packaging,2031.04175,80.78344519,1.606494139,36.79983494,488.0357727,0,0,0,664.0238383,30.47231378
10,Filling,9609.62851,66.00048784,0.578964033,11.64351132,484.1244602,0,0,0,922.453481,23.5379551
9,Sealing,1512.27808,89.19840455,3.740232198,25.57806652,188.4422438,0,0,1,385.098438,28.96419825
10,Packaging,5139.910103,70.49992569,3.280566045,35.86218548,190.3661376,0,0,0,682.2473462,25.56047539
5,Sealing,8313.987276,85.37600719,3.624734536,21.33289261,246.4188501,0,0,0,958.2162669,27.19481673
2,Filling,3563.05321,88.36099118,1.464474929,33.67004027,224.0840284,0,0,0,786.7748952,24.50017999
4,Packaging,4305.802478,85.94141889,3.593193758,24.2911572,222.245859,0,0,0,503.1175175,26.67822612
7,Packaging,1369.032592,62.01202955,3.18369478,40.3488347,342.0866869,0,0,0,622.0106662,36.43396639
8,Filling,1316.926612,79.50921472,2.147553406,12.42390786,422.2432027,0,0,0,876.658097,35.15412329
3,Packaging,6233.725425,63.6027212,2.470216152,46.71847923,474.7072643,0,0,0,526.0241024,29.81078231
1,Filling,6787.770449,60.16989002,3.055642265,16.86450192,127.1441914,1,8.992755471,1,60.3432913,35.65003671
4,Packaging,7795.591889,61.55350332,2.719814792,16.34188347,211.1913906,0,0,0,948.9529852,39.51130368
2,Filling,5611.152322,87.48447589,3.388226297,43.62571779,202.0055094,0,0,0,611.9134081,28.12289013
8,Packaging,6493.016993,87.25390543,1.314408099,44.77131692,242.9758654,1,9.966215866,0,947.7524169,39.59974382
4,Sealing,233.8209898,66.77473163,2.933194797,13.71893254,269.7337052,0,0,0,849.7367709,24.91812299
2,Sealing,1705.490199,76.41183644,2.526257673,46.34875712,255.6685887,0,0,0,712.6754027,39.09075636
6,Sealing,9850.656184,88.65084787,2.574592223,20.93191467,480.8588838,0,0,0,598.0587442,37.28867577
6,Packaging,852.3357125,74.90118389,2.612219228,34.74486742,274.8516224,1,9.069003883,0,600.105714,23.98261919
10,Packaging,6820.0034,71.8073346,4.466623837,12.74373962,320.6370284,0,0,0,797.0371886,26.99687006
4,Sealing,1843.218067,74.49746082,4.183823485,25.22644405,399.4533122,0,0,0,708.0306466,34.15842171
6,Sealing,7195.513999,83.70647285,3.333064825,28.02898436,390.0339188,0,0,0,797.6029213,23.83242166
2,Filling,7089.304989,74.31832898,3.72419121,33.99306277,333.1858267,0,0,0,665.1277787,31.81413067
10,Filling,2418.570692,83.49833044,0.692611862,31.01087886,444.3328094,0,0,0,615.0372583,30.69614258
2,Filling,2769.380552,72.95092337,3.847962737,28.45971846,349.6725236,0,0,0,918.2778129,25.83748164
10,Sealing,6582.230065,67.56017014,2.687741098,48.38560847,449.903539,0,0,0,960.0217745,26.01066879
4,Sealing,3961.851784,69.79418189,1.92986404,17.40091108,221.1063002,0,0,0,852.6286031,30.32616541
8,Sealing,2026.0249,62.33470394,1.128996347,16.31976923,152.8094708,1,6.349322553,1,274.7801011,25.99698803
7,Filling,7343.628028,74.92143433,0.838439557,38.53676244,427.8081826,0,0,0,546.1552101,23.60509391
9,Packaging,1626.060491,64.44332775,0.701985585,12.98207539,253.0071632,0,0,0,769.5418493,35.46717394
8,Sealing,8570.872275,84.34641019,1.228082787,29.31565824,360.4338287,0,0,0,775.1760983,31.63523194
5,Packaging,5195.228288,72.61771722,0.635647077,29.36212477,394.9244786,1,5.157319709,0,819.6208148,28.75272081
2,Packaging,1146.435978,82.95006972,3.796890091,22.40101324,230.6841902,0,0,0,953.0877105,23.6249517
5,Packaging,6971.316102,88.63381283,1.618763536,47.21774967,302.0653554,0,0,0,823.396923,31.88730956
8,Filling,5239.714092,85.48433849,2.159331921,21.3017374,457.9706061,1,1.670528478,0,958.0732247,32.57213179
10,Packaging,3050.769961,88.54391039,4.202222962,21.53767809,451.9172941,0,0,0,558.8487372,29.59511242
9,Sealing,4283.139864,77.03809581,1.015958734,19.37199857,399.742831,0,0,0,854.6237642,27.45478825
9,Filling,3053.543662,64.95973302,4.260173136,15.83152141,405.0958128,0,0,0,963.7206455,37.34493464
1,Sealing,2703.955774,88.06187863,3.377931577,24.56044221,459.0737796,0,0,0,731.4028892,34.09619614
9,Sealing,1719.723366,86.05513172,2.039132816,37.2354904,394.5329549,0,0,0,983.7601601,27.12342866
7,Filling,3691.394618,85.93238973,1.030132459,39.68651451,235.8341437,0,0,1,320.2549633,31.86180898
9,Sealing,2584.773343,80.79823282,0.911717138,42.53675666,148.3130719,0,0,0,971.4870774,24.6746227
8,Sealing,6866.001422,78.74748787,2.009814557,17.90175554,268.75364,0,0,0,874.259107,20.22939932
1,Filling,6870.379738,60.44171676,1.131538877,11.42530753,134.9373663,1,5.825219252,0,728.8804829,37.37694609
8,Sealing,5068.218401,82.44162207,1.704696334,48.98743434,146.3083108,0,0,0,517.145701,36.37778056
8,Packaging,7801.650822,62.74605352,0.738301102,10.57330077,480.0688371,1,7.080471173,0,828.6958715,32.78806392
3,Sealing,8429.263218,67.79252808,3.177537898,48.42715352,370.3547842,1,5.98243845,0,627.1393053,36.22627265
1,Packaging,5839.687929,76.54470886,1.153742526,43.15257675,440.6434802,0,0,0,644.3276165,35.61645218
8,Sealing,6227.458111,73.55197755,3.905295409,46.48299044,357.1596773,0,0,0,509.8919864,37.2051246
3,Filling,2900.570507,60.47323169,1.481787393,25.4874285,267.4160114,0,0,0,778.8262254,37.8372805
3,Filling,8959.205087,84.71955175,4.090894607,17.88807995,110.063513,1,4.596051369,0,644.6471806,36.37606488
1,Sealing,339.6398398,86.36402874,1.354468938,34.25854741,482.3348148,0,0,0,991.1942151,37.03497423
5,Filling,3551.164447,80.4561883,3.746149537,39.65004683,128.3729888,0,0,0,874.5038384,30.03391591
10,Sealing,7245.824173,76.23203576,1.998836058,15.23444265,344.0652264,1,1.090646699,1,374.8171047,34.16014873
7,Filling,892.8861457,88.82213517,3.124039977,41.90486059,140.8812847,0,0,0,647.2243001,26.66493292
10,Packaging,1913.378322,63.59868623,0.673978164,18.3437328,213.6590714,1,5.5493043,0,857.4866338,37.22263749
9,Sealing,5933.928706,82.13730161,2.728599955,29.66709172,174.3269829,0,0,0,627.1039037,37.17181272
7,Packaging,5643.937347,63.85081839,1.169095526,44.259298,321.4867661,1,8.371410217,1,344.8927255,21.32284958
9,Packaging,7415.390132,71.45534397,2.688441023,17.73698044,454.830138,0,0,0,580.1926669,26.94039695
8,Sealing,8144.865127,77.56453528,1.136116089,19.67538592,354.2489231,0,0,1,465.6575633,23.42889606
2,Packaging,1372.937827,82.11263072,2.466901041,12.51084626,365.6752078,1,2.397592562,0,549.1926548,22.71599871
1,Sealing,281.9717988,60.11148301,0.997793691,15.86456447,463.5725985,0,0,0,713.5739225,28.29785548
7,Packaging,6927.421345,67.81793659,1.48978183,15.86103279,399.7700912,0,0,0,963.3914341,32.51322794
7,Sealing,3083.778778,76.14601174,3.17785521,18.13710009,446.3823346,0,0,0,550.4301263,26.87451584
8,Sealing,6297.240748,75.98621037,4.894972867,21.44801588,266.5568367,1,1.373287995,0,718.6653272,26.18429939
5,Filling,1590.391422,79.12879305,2.521331458,42.59933458,446.1425351,0,0,0,649.161263,21.88915184
3,Sealing,4743.496462,69.11560743,3.592281617,46.63055457,358.3445554,1,3.863986519,1,328.6223232,27.65839578
8,Sealing,5093.804986,76.21587753,2.92741102,26.25122437,154.2431131,0,0,0,885.7429118,29.41955414
6,Packaging,5892.270382,65.69360332,2.742610704,15.12835808,115.4850033,0,0,0,717.521576,27.97411983
3,Sealing,5180.383162,65.60616643,0.791168886,18.952397,197.6137655,0,0,0,825.196646,33.60168645
1,Filling,5007.338625,77.2969189,1.14933831,39.44823907,251.3398595,0,0,0,986.0987245,25.76316261
3,Packaging,3394.068124,80.56417755,4.473759782,37.09702077,435.0271464,0,0,1,383.6663586,34.32085301
5,Packaging,804.6843395,63.611999,2.345739418,48.68829206,396.4978228,0,0,0,668.694383,37.65538611
3,Filling,986.2499483,63.68369706,3.264496145,10.57954722,482.1502911,0,0,0,698.8278501,31.82480598
1,Packaging,4394.404917,76.95908074,2.877049547,40.03035041,323.6699195,0,0,0,847.9545519,27.77355315
5,Packaging,3622.351965,68.10287257,2.204970708,30.23174402,399.0966606,1,7.844271263,0,847.1670452,23.59385769
10,Packaging,5209.734566,71.77197307,2.245174442,46.10771912,210.1133541,0,0,0,684.0514269,38.64847454
7,Packaging,3117.897876,72.02245343,2.999592527,33.04666697,371.8311572,1,3.663105076,0,862.2337592,35.03711229
7,Filling,6910.309905,65.35658578,1.135138107,27.86670898,382.460481,0,0,0,775.2879267,24.9288223
9,Filling,8653.152738,60.039439,2.242665681,36.63402438,439.3661314,0,0,0,990.2101894,23.01269571
10,Packaging,3058.745569,85.5945543,2.511390062,43.34093769,314.5614044,0,0,0,954.0455391,20.98620426
10,Packaging,2010.541679,81.45005907,4.933068007,21.29994201,359.602059,0,0,0,911.9265442,23.81105955
